date,close,news_score,sma,rsi,signal,market_return,position,turnover,transaction_cost,strategy_return_gross,strategy_return,window,sma_window,rsi_threshold,strategy_equity,benchmark_equity
2022-03-23,170.21,0.2068965517241379,161.95600000000002,58.74372188719365,0,0.008233621608814135,1,1.0,0.0005,0.008233621608814135,0.007733621608814134,9,20,40,1.2540298605575364,1.7827236783535365
2022-03-24,174.07,0.1714285714285714,162.52249999999998,62.7013214474682,0,0.022677868515363242,0,1.0,0.0005,0.0,-0.0005,9,20,40,1.2534028456272577,1.8231520515304627
2022-03-25,174.72,0.1666666666666667,163.01600000000002,63.339079431866615,0,0.0037341299477222645,0,0.0,0.0,0.0,0.0,9,20,40,1.2534028456272577,1.8299599382053338
2022-03-28,175.6,0.2982456140350877,163.54000000000002,64.2307937911965,0,0.005036630036630019,0,0.0,0.0,0.0,0.0,9,20,40,1.2534028456272577,1.8391767693959284
2022-03-29,178.96,0.21875,164.328,67.48297330845772,0,0.01913439635535319,0,0.0,0.0,0.0,0.0,9,20,40,1.2534028456272577,1.8743683066691081
2022-03-30,177.77,0.2549019607843137,164.8885,65.22121366187888,0,-0.006649530621367861,0,0.0,0.0,-0.0,-0.0,9,20,40,1.2534028456272577,1.8619046372181904
2022-03-31,174.61,0.1538461538461539,165.3075,59.516732782951614,0,-0.01777577769027394,0,0.0,0.0,-0.0,-0.0,9,20,40,1.2534028456272577,1.8288078343065097
2022-04-01,174.31,-0.054054054054054,165.8645,58.98923712650793,0,-0.001718114655518077,0,0.0,0.0,-0.0,-0.0,9,20,40,1.2534028456272577,1.8256657327642614
2022-04-04,178.44,0.3666666666666666,166.82150000000001,63.75217811789487,1,0.023693419769376334,0,0.0,0.0,0.0,0.0,9,20,40,1.2534028456272577,1.868921997329211
2022-04-05,175.06,0.0869565217391304,167.70250000000001,57.83246835957935,0,-0.0189419412687738,1,1.0,0.0005,-0.0189419412687738,-0.0194419412687738,9,20,40,1.2290342611164584,1.8335209866198816
2022-04-06,171.83,-0.1851851851851852,168.1465,52.78804561237394,0,-0.01845081686278982,0,1.0,0.0005,-0.0,-0.0005,9,20,40,1.2284197439859001,1.7996910266816766
2022-04-07,172.14,0.391304347826087,168.8275,53.20987593788639,1,0.0018041087120990174,0,0.0,0.0,0.0,0.0,9,20,40,1.2284197439859001,1.8029378649419994
2022-04-08,170.09,0.1153846153846154,169.59550000000002,50.02667324708754,0,-0.011908911351225626,1,1.0,0.0005,-0.011908911351225626,-0.012408911351225627,9,20,40,1.213176392280684,1.7814668377366372
2022-04-11,165.75,0.0,170.352,44.02232863247065,0,-0.02551590334528786,0,1.0,0.0005,-0.0,-0.0005,9,20,40,1.2125698040845436,1.7360111020921136
2022-04-12,167.66,-0.0967741935483871,170.9805,47.035193793484424,0,0.011523378582201982,0,0.0,0.0,0.0,0.0,9,20,40,1.2125698040845436,1.7560158152444267
2022-04-13,170.4,0.0606060606060606,171.52100000000002,51.101173296018196,0,0.016342598115233198,0,0.0,0.0,0.0,0.0,9,20,40,1.2125698040845436,1.78471367599696
2022-04-14,165.29,0.064516129032258,171.7545,44.27480827490441,0,-0.029988262910798147,0,0.0,0.0,-0.0,-0.0,9,20,40,1.2125698040845436,1.7311932130606662
2022-04-18,165.07,0.3333333333333333,171.80900000000003,44.00227456623358,0,-0.0013309940105269424,0,0.0,0.0,-0.0,-0.0,9,20,40,1.2125698040845436,1.7288890052630175
2022-04-19,167.4,0.1379310344827586,171.91,47.67580795513328,-1,0.014115223844429758,0,0.0,0.0,0.0,0.0,9,20,40,1.2125698040845436,1.7532926605744785
2022-04-20,167.23,-0.2,171.83049999999997,47.431320542489864,0,-0.0010155316606930143,-1,1.0,0.0005,0.0010155316606930143,0.0005155316606930142,9,20,40,1.2131949222093497,1.7515121363672044
2022-04-21,166.42,0.032258064516129,171.641,46.21523427960095,0,-0.004843628535549871,0,1.0,0.0005,-0.0,-0.0005,9,20,40,1.212588324748245,1.7430284622031342
2022-04-22,161.79,-0.0277777777777777,171.027,39.915510468387694,0,-0.027821175339502457,0,0.0,0.0,-0.0,-0.0,9,20,40,1.212588324748245,1.6945353617344374
2022-04-25,162.88,0.0,170.435,41.92263109599366,0,0.006737128376290258,0,0.0,0.0,0.0,0.0,9,20,40,1.212588324748245,1.7059516640046057
2022-04-26,156.8,0.0425531914893617,169.495,34.91615995468254,0,-0.037328094302553905,0,0.0,0.0,-0.0,-0.0,9,20,40,1.212588324748245,1.642271739415043
2022-04-27,156.57,0.027027027027027,168.3755,34.680036411767304,0,-0.0014668367346939437,0,0.0,0.0,-0.0,-0.0,9,20,40,1.212588324748245,1.6398627948993194
2022-04-28,163.64,0.2333333333333333,167.669,46.62819477481758,0,0.04515552149198432,0,0.0,0.0,0.0,0.0,9,20,40,1.212588324748245,1.713911654578301
2022-04-29,157.65,-0.2987012987012987,166.82099999999997,39.959153468483834,-1,-0.036604742116841726,0,0.0,0.0,-0.0,-0.0,9,20,40,1.212588324748245,1.6511743604514129
2022-05-02,157.96,-0.2272727272727273,166.00349999999997,40.433977793219945,0,0.001966381224230984,-1,1.0,0.0005,-0.001966381224230984,-0.002466381224230984,9,20,40,1.2095976196713643,1.654421198711736
2022-05-03,159.48,0.0,165.0555,42.82170089893917,0,0.009622689288427244,0,1.0,0.0005,0.0,-0.0005,9,20,40,1.2089928208615286,1.6703411798591266
2022-05-04,166.02,0.1481481481481481,160.921,51.77836240644358,0,0.04100827689992492,0,0.0,0.0,0.0,0.0,10,10,40,1.2089928208615286,1.738838993480137
2022-05-05,156.77,-0.1,159.95600000000002,41.804068745774195,0,-0.05571617877364177,0,0.0,0.0,-0.0,-0.0,10,10,40,1.2089928208615286,1.6419575292608184
2022-05-06,157.28,-0.2083333333333333,159.505,42.4621815760089,0,0.00325317343879572,0,0.0,0.0,0.0,0.0,10,10,40,1.2089928208615286,1.6472991018826404
2022-05-09,152.06,-0.1666666666666667,158.423,37.75590322279235,0,-0.033189216683621514,0,0.0,0.0,-0.0,-0.0,10,10,40,1.2089928208615286,1.5926265350475224
2022-05-10,154.51,-0.08,158.19400000000002,41.057932625739106,0,0.016112061028541236,0,0.0,0.0,0.0,0.0,10,10,40,1.2089928208615286,1.6182870309758823
2022-05-11,146.5,-0.0833333333333333,157.18699999999998,34.596033289696194,0,-0.05184130476991777,0,0.0,0.0,-0.0,-0.0,10,10,40,1.2089928208615286,1.5343929197978563
2022-05-12,142.56,-0.1666666666666667,155.079,31.933709517190806,0,-0.02689419795221837,0,0.0,0.0,-0.0,-0.0,10,10,40,1.2089928208615286,1.4931266528763305
2022-05-13,147.11,-0.0769230769230769,154.025,37.87899726862409,0,0.03191638608305292,0,0.0,0.0,0.0,0.0,10,10,40,1.2089928208615286,1.540781859600428
2022-05-16,145.54,-0.0526315789473684,152.783,36.68819386354172,0,-0.010672286044456691,0,0.0,0.0,-0.0,-0.0,10,10,40,1.2089928208615286,1.5243381948626622
2022-05-17,149.24,0.2307692307692308,151.75900000000001,41.366355653380104,0,0.025422564243507084,0,0.0,0.0,0.0,0.0,10,10,40,1.2089928208615286,1.5630907805503897
2022-05-18,140.82,-0.0689655172413793,149.239,35.02399088100644,-1,-0.05641919056553213,0,0.0,0.0,-0.0,-0.0,10,10,40,1.2089928208615286,1.4749024639312909
2022-05-19,137.35,-0.0303030303030303,147.29699999999997,32.792570082338585,0,-0.024641386166737722,-1,1.0,0.0005,0.024641386166737722,0.02414138616673772,10,10,40,1.2381795834227602,1.438558822759287
2022-05-20,137.59,0.125,145.328,33.10999682494334,0,0.00174736075718962,0,1.0,0.0005,0.0,-0.0005,10,10,40,1.237560493631049,1.4410725039930854
2022-05-23,143.11,0.1515151515151515,144.433,40.11569983580104,0,0.040119194708917894,0,0.0,0.0,0.0,0.0,10,10,40,1.237560493631049,1.4988871723704518
2022-05-24,140.36,-0.1666666666666667,143.018,37.98147284835791,0,-0.01921598770176791,0,0.0,0.0,-0.0,-0.0,10,10,40,1.237560493631049,1.4700845748998435
2022-05-25,140.52,-0.103448275862069,142.42000000000002,38.18752366925083,0,0.0011399259048161525,0,0.0,0.0,0.0,0.0,10,10,40,1.237560493631049,1.4717603623890425
2022-05-26,143.78,0.1590909090909091,142.542,42.387545788928556,1,0.023199544548818674,0,0.0,0.0,0.0,0.0,10,10,40,1.237560493631049,1.5059045324814726
2022-05-27,149.64,-0.2083333333333333,142.79500000000002,49.08467468005238,0,0.04075671164278738,1,1.0,0.0005,0.04075671164278738,0.04025671164278738,10,10,40,1.2873806095636597,1.5672802492733866
2022-05-31,148.84,0.25,143.125,48.25989919075133,1,-0.00534616412723854,0,1.0,0.0005,-0.0,-0.0005,10,10,40,1.286736919258878,1.5589013118273918
2022-06-01,148.71,-0.0526315789473684,143.072,48.11840484038275,0,-0.000873421123353868,1,1.0,0.0005,-0.000873421123353868,-0.001373421123353868,10,10,40,1.2849696875937686,1.5575397344924178
2022-06-02,151.21,0.2727272727272727,144.11100000000002,51.088336541776044,1,0.01681124335955886,0,1.0,0.0005,0.0,-0.0005,10,10,40,1.2843272027499717,1.5837239140111525
2022-06-03,145.38,0.032258064516129,144.91400000000002,44.66690015142548,0,-0.038555651081277786,1,1.0,0.0005,-0.038555651081277786,-0.03905565108127779,10,10,40,1.2341669676451752,1.522662407373463
2022-06-06,146.14,0.4193548387096774,145.769,45.62636379048294,0,0.005227679185582534,0,1.0,0.0005,0.0,-0.0005,10,10,40,1.2335498841613526,1.5306223979471583
2022-06-07,148.71,0.0,146.329,48.855921801465726,0,0.0175858765567265,0,0.0,0.0,0.0,0.0,10,10,40,1.2335498841613526,1.5575397344924178
2022-06-08,147.96,0.1818181818181818,147.089,47.96065467281214,0,-0.005043373007867613,0,0.0,0.0,-0.0,-0.0,10,10,40,1.2335498841613526,1.5496844806367975
2022-06-09,142.64,0.05,147.301,42.071434398124346,0,-0.03595566369289016,0,0.0,0.0,-0.0,-0.0,10,10,40,1.2335498841613526,1.4939645466209297
2022-06-10,137.13,-0.0416666666666666,146.63600000000002,37.003405929573795,0,-0.038628715647784584,0,0.0,0.0,-0.0,-0.0,10,10,40,1.2335498841613526,1.4362546149616384
2022-06-13,131.88,-0.1935483870967742,144.85999999999999,32.93268562990019,0,-0.038284839203675314,0,0.0,0.0,-0.0,-0.0,10,10,40,1.2335498841613526,1.3812678379722956
2022-06-14,132.76,0.0238095238095238,143.252,34.2385822051768,0,0.0066727327873823405,0,0.0,0.0,0.0,0.0,10,10,40,1.2335498841613526,1.39048466916289
2022-06-15,135.43,0.075,141.924,38.172223614956465,0,0.02011147936125357,0,0.0,0.0,0.0,0.0,10,10,40,1.2335498841613526,1.418449372888899
