date,market_return,baseline_position,baseline_return,baseline_equity,benchmark_equity,threshold_0.00_hold_1d_position,threshold_0.00_hold_1d_return,threshold_0.00_hold_1d_equity,threshold_0.00_hold_3d_position,threshold_0.00_hold_3d_return,threshold_0.00_hold_3d_equity,threshold_0.05_hold_1d_position,threshold_0.05_hold_1d_return,threshold_0.05_hold_1d_equity,threshold_0.05_hold_3d_position,threshold_0.05_hold_3d_return,threshold_0.05_hold_3d_equity
2023-10-30,0.0123053144691474,0.5,0.0061526572345737,1.486224685788353,0.9590020836853165,0.5,0.0061526572345737,1.5046455162910857,0.5,0.0061526572345737,1.5461078147098115,0.5,0.0061526572345737,1.5046455162910857,0.5,0.0061526572345737,1.5091888095055834
2023-10-31,0.0028187210053438,0.5,0.0014093605026719,1.4883193121585991,0.9617052430027688,0.5,0.0014093605026719,1.5067661042522686,0.5,0.0014093605026719,1.5482868379967358,0.5,0.0014093605026719,1.5067661042522686,0.5,0.0014093605026719,1.511315800604775
2023-11-01,0.0187386543303857,0.5,0.00936932716519285,1.5022638627204878,0.9797263051191174,0.5,0.00936932716519285,1.5208834888444314,0.5,0.00936932716519285,1.5627932439274892,0.5,0.00936932716519285,1.5208834888444314,0.5,0.00936932716519285,1.5254758127905668
2023-11-02,0.0206932229694774,0.5,0.0103466114847387,1.5178072032556194,1.0000000000000095,0.5,0.0103466114847387,1.5366194794170585,0.5,0.0103466114847387,1.5789628584533812,0.5,0.0103466114847387,1.5366194794170585,0.5,0.0103466114847387,1.5412593183548766
2023-11-03,-0.0051810553584501,0.5,-0.00259052767922505,1.5138752816838585,0.9948189446415594,0.5,-0.00259052767922505,1.532638824123192,0.5,-0.00259052767922505,1.5748725114640894,0.5,-0.00259052767922505,1.532638824123192,0.5,-0.00259052767922505,1.5372666434298148
2023-11-06,0.0146051514293801,0.5,0.00730257571469005,1.5249304705509528,1.0093484259728656,1.0,0.0143551514293801,1.5546400865300274,1.0,0.0143551514293801,1.5974800448481243,0.5,0.00730257571469005,1.5438310351796252,0.5,0.00730257571469005,1.5484926494871285
2023-11-07,0.0144507057970206,1.0,0.0142007057970206,1.546585559524159,1.0239342231232853,1.0,0.0144507057970206,1.5771057330407277,1.0,0.0144507057970206,1.620564758992836,1.0,0.0142007057970206,1.5657545255105207,1.0,0.0142007057970206,1.5704823380313442
2023-11-08,0.0058849411505883,0.5,0.0026924705752941498,1.5507496956353528,1.0299600157684392,0.5,0.0026924705752941498,1.5813520438210675,1.0,0.0058849411505883,1.6301016872302263,0.5,0.0026924705752941498,1.5699702734985916,0.5,0.0026924705752941498,1.5747108155155127
2023-11-09,-0.0026245284050521,0.5,-0.00131226420252605,1.5487147023226924,1.027256856450987,0.5,-0.00131226420252605,1.5792768921423697,0.5,-0.00156226420252605,1.6275550377177892,0.5,-0.00131226420252605,1.5679100577096494,0.5,-0.00131226420252605,1.5726443788829811
2023-11-10,0.0218738007784662,0.5,0.0109369003892331,1.5656528407533363,1.0497268682773093,0.5,0.0109369003892331,1.5965492861987483,0.5,0.0109369003892331,1.645355445043303,0.5,0.0109369003892331,1.5850581338300964,0.5,0.0109369003892331,1.5898442338025116
