window,sma_window,rsi_threshold,observations,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,positive_day_rate,exposure,active_days,active_day_hit_rate,total_turnover,estimated_cost
16,20,40,132,0.13102280306283798,0.26497426218266074,0.1155158629732401,1.745900411514005,2.0690809727034645,0.04678818126965367,0.09848484848484848,0.1590909090909091,21,0.6190476190476191,34.0,0.017
16,20,45,132,0.13102280306283798,0.26497426218266074,0.1155158629732401,1.745900411514005,2.0690809727034645,0.04678818126965367,0.09848484848484848,0.1590909090909091,21,0.6190476190476191,34.0,0.017
16,20,50,132,0.12186046013697993,0.2454829554609721,0.1148642504256204,1.6198457310295824,1.8180343874115248,0.04678818126965323,0.09090909090909091,0.14393939393939395,19,0.631578947368421,30.0,0.015
16,20,55,132,0.06797518962715032,0.13377234069194222,0.09315331068267445,0.9644654601244433,0.8018121231492878,0.03861783807881469,0.06818181818181818,0.11363636363636363,15,0.6,22.0,0.011
16,20,60,132,0.055222055855551844,0.10806580083330153,0.08959500246994136,0.7431075430903029,0.5481887982123129,0.04141078021916045,0.06060606060606061,0.09848484848484848,13,0.6153846153846154,18.0,0.009
16,30,40,132,0.13314511635688575,0.2695096734838016,0.1143372744980986,1.7940536586279379,2.067997290740104,0.03861783807881469,0.10606060606060606,0.1590909090909091,21,0.6666666666666666,32.0,0.016
16,30,45,132,0.13314511635688575,0.2695096734838016,0.1143372744980986,1.7940536586279379,2.067997290740104,0.03861783807881469,0.10606060606060606,0.1590909090909091,21,0.6666666666666666,32.0,0.016
16,30,50,132,0.13314511635688575,0.2695096734838016,0.1143372744980986,1.7940536586279379,2.067997290740104,0.03861783807881469,0.10606060606060606,0.1590909090909091,21,0.6666666666666666,32.0,0.016
16,30,55,132,0.06797518962715032,0.13377234069194222,0.09315331068267445,0.9644654601244433,0.8018121231492878,0.03861783807881469,0.06818181818181818,0.11363636363636363,15,0.6,22.0,0.011
16,30,60,132,0.055222055855551844,0.10806580083330153,0.08959500246994136,0.7431075430903029,0.5481887982123129,0.04141078021916045,0.06060606060606061,0.09848484848484848,13,0.6153846153846154,18.0,0.009
17,10,40,132,0.05737191137053843,0.11237959629374217,0.06741782902324021,1.0199010087914642,1.139698449558612,0.0327992255799644,0.07575757575757576,0.13636363636363635,18,0.5555555555555556,32.0,0.016
17,10,45,132,0.09170544775603484,0.18235208261182922,0.061817542726693125,2.0938315460949117,3.4444265705725003,0.013174853237899908,0.07575757575757576,0.11363636363636363,15,0.6666666666666666,28.0,0.014
17,10,50,132,0.09273121562276576,0.18447387301890772,0.0617909002148028,2.12374378831655,3.3342364203448316,0.01317485323790002,0.07575757575757576,0.10606060606060606,14,0.7142857142857143,26.0,0.013
17,10,55,132,0.030288661481225887,0.05861917708267517,0.03612127067331233,0.4877034369633114,0.41380341149162836,0.013174853237899686,0.05303030303030303,0.08333333333333333,11,0.6363636363636364,20.0,0.01
17,10,60,132,0.01168443224294391,0.022425074495520114,0.030740845347091896,-0.564539945659504,-0.3845305004986912,0.013174853237899686,0.03787878787878788,0.06818181818181818,9,0.5555555555555556,16.0,0.008
17,20,40,132,0.10522037020911323,0.21045281085137768,0.07994116578005953,1.9285473676799665,4.1690243778733835,0.013174853237899797,0.08333333333333333,0.12878787878787878,17,0.6470588235294118,32.0,0.016
17,20,45,132,0.10522037020911323,0.21045281085137768,0.07994116578005953,1.9285473676799665,4.1690243778733835,0.013174853237899797,0.08333333333333333,0.12878787878787878,17,0.6470588235294118,32.0,0.016
17,20,50,132,0.10625883671465952,0.21262502943166095,0.0799183469227568,1.9515274061862034,4.060944602805511,0.013174853237899686,0.08333333333333333,0.12121212121212122,16,0.6875,30.0,0.015
17,20,55,132,0.024775785478940993,0.0478315002593257,0.03680799041826055,0.20095250324998107,0.17693724075828784,0.01666073663520118,0.05303030303030303,0.09090909090909091,12,0.5833333333333334,22.0,0.011
17,20,60,132,0.01168443224294391,0.022425074495520114,0.030740845347091896,-0.564539945659504,-0.3845305004986912,0.013174853237899686,0.03787878787878788,0.06818181818181818,9,0.5555555555555556,16.0,0.008
17,30,40,132,0.11720235362900522,0.23562891284825715,0.08529113719614019,2.054151337344118,4.561863224001841,0.013174853237899686,0.08333333333333333,0.12121212121212122,16,0.6875,30.0,0.015
17,30,45,132,0.11720235362900522,0.23562891284825715,0.08529113719614019,2.054151337344118,4.561863224001841,0.013174853237899686,0.08333333333333333,0.12121212121212122,16,0.6875,30.0,0.015
17,30,50,132,0.11720235362900522,0.23562891284825715,0.08529113719614019,2.054151337344118,4.561863224001841,0.013174853237899686,0.08333333333333333,0.12121212121212122,16,0.6875,30.0,0.015
17,30,55,132,0.024775785478940993,0.0478315002593257,0.03680799041826055,0.20095250324998107,0.17693724075828784,0.01666073663520118,0.05303030303030303,0.09090909090909091,12,0.5833333333333334,22.0,0.011
17,30,60,132,0.01168443224294391,0.022425074495520114,0.030740845347091896,-0.564539945659504,-0.3845305004986912,0.013174853237899686,0.03787878787878788,0.06818181818181818,9,0.5555555555555556,16.0,0.008
18,10,40,132,0.05883544854211653,0.1153208246898978,0.06879090243006816,1.0392888456875322,1.190124449022785,0.032315383271599996,0.07575757575757576,0.13636363636363635,18,0.5555555555555556,34.0,0.017
18,10,45,132,0.09321650690752481,0.18547832434731015,0.06330171009636787,2.0879313783312745,3.371498308557772,0.013174853237899575,0.07575757575757576,0.11363636363636363,15,0.6666666666666666,30.0,0.015
18,10,50,132,0.07839577104344997,0.15498546274782488,0.060409978190240105,1.7533325469694367,2.6456840526436403,0.013174853237899575,0.06818181818181818,0.10606060606060606,14,0.6428571428571429,28.0,0.014
18,10,55,132,0.023532389985063018,0.04540567843464549,0.03705175200793024,0.13730205142190127,0.11872821275686361,0.013174853237899575,0.045454545454545456,0.08333333333333333,11,0.5454545454545454,22.0,0.011
18,10,60,132,-0.006117879907692636,-0.011647103645845536,0.019435031401674907,-2.6512813442394974,-1.105265837693134,0.01833447270575994,0.015151515151515152,0.03787878787878788,5,0.4,10.0,0.005
18,20,40,132,0.05377195277137803,0.10516060239897751,0.04918699317711808,1.2442846338138598,1.5950506390135528,0.013174853237899908,0.06818181818181818,0.11363636363636363,15,0.6,30.0,0.015
18,20,45,132,0.05377195277137803,0.10516060239897751,0.04918699317711808,1.2442846338138598,1.5950506390135528,0.013174853237899908,0.06818181818181818,0.11363636363636363,15,0.6,30.0,0.015
18,20,50,132,0.042780867468920514,0.08325872221068176,0.04504281860797542,0.9099456361440833,1.00169697816625,0.013174853237899908,0.06060606060606061,0.09848484848484848,13,0.6153846153846154,26.0,0.013
18,20,55,132,0.023532389985063018,0.04540567843464549,0.03705175200793024,0.13730205142190127,0.11872821275686361,0.013174853237899575,0.045454545454545456,0.08333333333333333,11,0.5454545454545454,22.0,0.011
18,20,60,132,-0.006117879907692636,-0.011647103645845536,0.019435031401674907,-2.6512813442394974,-1.105265837693134,0.01833447270575994,0.015151515151515152,0.03787878787878788,5,0.4,10.0,0.005
18,30,40,132,0.053096437100880634,0.10380848553481714,0.05416807506688778,1.111809408323734,1.4718688199411891,0.013174853237899908,0.06060606060606061,0.09848484848484848,13,0.6153846153846154,26.0,0.013
18,30,45,132,0.053096437100880634,0.10380848553481714,0.05416807506688778,1.111809408323734,1.4718688199411891,0.013174853237899908,0.06060606060606061,0.09848484848484848,13,0.6153846153846154,26.0,0.013
